AGE75591.1	HD73_0001
AGE75991.1	HD73_0411
AGE75992.1	HD73_0412
AGE75993.1	HD73_0413
AGE75994.1	HD73_0414
AGE75995.1	HD73_0415
AGE75996.1	HD73_0416
AGE75997.1	HD73_0417
AGE75998.1	HD73_0418
AGE75999.1	HD73_0419
AGE76000.1	HD73_0420
AGE76001.1	HD73_0421
AGE76002.1	HD73_0422
AGE76003.1	HD73_0423
AGE76004.1	HD73_0424
AGE76005.1	HD73_0425
AGE76006.1	HD73_0426
AGE76007.1	HD73_0427
AGE76008.1	HD73_0428
AGE76009.1	HD73_0429
AGE76010.1	HD73_0430
AGE76011.1	HD73_0431
AGE76012.1	HD73_0432
AGE76013.1	HD73_0433
AGE76014.1	HD73_0434
AGE76015.1	HD73_0435
AGE76016.1	HD73_0436
AGE76017.1	HD73_0437
AGE76018.1	HD73_0438
AGE76019.1	HD73_0439
AGE76020.1	HD73_0440
AGE76021.1	HD73_0441
AGE76022.1	HD73_0442
AGE76023.1	HD73_0443
AGE76024.1	HD73_0444
AGE76025.1	HD73_0445
AGE76026.1	HD73_0446
AGE76027.1	HD73_0447
AGE76028.1	HD73_0448
AGE76029.1	HD73_0449
AGE76030.1	HD73_0450
AGE76031.1	HD73_0451
AGE76032.1	HD73_0452
AGE76033.1	HD73_0453
AGE76034.1	HD73_0454
AGE76035.1	HD73_0455
AGE76036.1	HD73_0456
AGE76037.1	HD73_0457
AGE76038.1	HD73_0458
AGE76039.1	HD73_0459
AGE76040.1	HD73_0460
AGE76041.1	HD73_0461
AGE76042.1	HD73_0462
AGE76043.1	HD73_0463
AGE76044.1	HD73_0464
AGE76045.1	HD73_0465
AGE76046.1	HD73_0466
AGE76047.1	HD73_0467
AGE76048.1	HD73_0468
AGE76049.1	HD73_0469
AGE76050.1	HD73_0470
AGE76051.1	HD73_0471
AGE76052.1	HD73_0472
AGE76053.1	HD73_0473
AGE76054.1	HD73_0474
AGE76055.1	HD73_0475
AGE76056.1	HD73_0476
AGE76057.1	HD73_0477
AGE76058.1	HD73_0478
AGE76059.1	HD73_0479
AGE76060.1	HD73_0480
AGE76061.1	HD73_0481
AGE76062.1	HD73_0482
AGE76063.1	HD73_0483
AGE76064.1	HD73_0484
AGE76065.1	HD73_0485
AGE76066.1	HD73_0486
AGE76067.1	HD73_0487
AGE76068.1	HD73_0488
AGE76069.1	HD73_0489
AGE76070.1	HD73_0490
AGE76071.1	HD73_0491
AGE76072.1	HD73_0492
AGE76073.1	HD73_0493
AGE76074.1	HD73_0494
AGE76075.1	HD73_0495
AGE76076.1	HD73_0496
AGE76077.1	HD73_0497
AGE76078.1	HD73_0498
AGE76079.1	HD73_0499
AGE76080.1	HD73_0500
AGE76081.1	HD73_0501
AGE76082.1	HD73_0502
AGE76083.1	HD73_0503
AGE76084.1	HD73_0504
AGE76085.1	HD73_0505
AGE76086.1	HD73_0506
AGE76087.1	HD73_0507
AGE76088.1	HD73_0508
AGE76089.1	HD73_0509
AGE76090.1	HD73_0510
AGE76091.1	HD73_0511
AGE76092.1	HD73_0512
AGE76093.1	HD73_0513
AGE76094.1	HD73_0514
AGE76095.1	HD73_0515
AGE76096.1	HD73_0516
AGE76097.1	HD73_0517
AGE76098.1	HD73_0518
AGE76099.1	HD73_0519
AGE76100.1	HD73_0520
AGE76101.1	HD73_0521
AGE76102.1	HD73_0522
AGE76103.1	HD73_0523
AGE76104.1	HD73_0524
AGE76105.1	HD73_0525
AGE76106.1	HD73_0526
AGE76107.1	HD73_0527
AGE76108.1	HD73_0528
AGE76109.1	HD73_0529
AGE76110.1	HD73_0530
AGE76111.1	HD73_0531
AGE76112.1	HD73_0532
AGE76113.1	HD73_0533
AGE76114.1	HD73_0534
AGE76115.1	HD73_0535
AGE76116.1	HD73_0536
AGE76117.1	HD73_0537
AGE76118.1	HD73_0538
AGE76119.1	HD73_0539
AGE76120.1	HD73_0540
AGE76121.1	HD73_0541
AGE76122.1	HD73_0542
AGE76123.1	HD73_0543
AGE76124.1	HD73_0544
AGE76125.1	HD73_0545
AGE76126.1	HD73_0546
AGE76127.1	HD73_0547
AGE76128.1	HD73_0548
AGE76129.1	HD73_0549
AGE76130.1	HD73_0550
AGE76131.1	HD73_0551
AGE76132.1	HD73_0552
AGE76133.1	HD73_0553
AGE76134.1	HD73_0554
AGE76135.1	HD73_0555
AGE76136.1	HD73_0556
AGE76137.1	HD73_0557
AGE76138.1	HD73_0558
AGE76139.1	HD73_0559
AGE76140.1	HD73_0560
AGE76141.1	HD73_0561
AGE76142.1	HD73_0562
AGE76143.1	HD73_0563
AGE76144.1	HD73_0564
AGE76145.1	HD73_0565
AGE76146.1	HD73_0566
AGE76147.1	HD73_0567
AGE76148.1	HD73_0568
AGE76149.1	HD73_0569
AGE76150.1	HD73_0570
AGE76151.1	HD73_0571
AGE76152.1	HD73_0572
AGE76153.1	HD73_0573
AGE76154.1	HD73_0574
AGE76155.1	HD73_0575
AGE76156.1	HD73_0576
AGE76157.1	HD73_0577
AGE76158.1	HD73_0578
AGE76159.1	HD73_0579
AGE76160.1	HD73_0580
AGE76161.1	HD73_0581
AGE76162.1	HD73_0582
AGE76163.1	HD73_0583
AGE76164.1	HD73_0584
AGE76165.1	HD73_0585
AGE76166.1	HD73_0586
AGE76167.1	HD73_0587
AGE76168.1	HD73_0588
AGE76169.1	HD73_0589
AGE76170.1	HD73_0590
AGE76171.1	HD73_0591
AGE76172.1	HD73_0592
AGE76173.1	HD73_0593
AGE76174.1	HD73_0594
AGE76175.1	HD73_0595
AGE76176.1	HD73_0596
AGE76177.1	HD73_0597
AGE76178.1	HD73_0598
AGE76179.1	HD73_0599
AGE76180.1	HD73_0600
AGE76181.1	HD73_0601
AGE76182.1	HD73_0602
AGE76183.1	HD73_0603
AGE76184.1	HD73_0604
AGE76185.1	HD73_0605
AGE76186.1	HD73_0606
AGE76187.1	HD73_0607
AGE76188.1	HD73_0608
AGE76189.1	HD73_0609
AGE76190.1	HD73_0611
AGE76191.1	HD73_0612
AGE76192.1	HD73_0613
AGE76193.1	HD73_0614
AGE76194.1	HD73_0615
AGE76195.1	HD73_0616
AGE76196.1	HD73_0617
AGE76197.1	HD73_0618
AGE76198.1	HD73_0619
AGE76199.1	HD73_0620
AGE76200.1	HD73_0621
AGE76201.1	HD73_0622
AGE76202.1	HD73_0623
AGE76203.1	HD73_0624
AGE76204.1	HD73_0625
AGE76205.1	HD73_0626
AGE76206.1	HD73_0627
AGE76207.1	HD73_0628
AGE76208.1	HD73_0629
AGE76209.1	HD73_0630
AGE76210.1	HD73_0631
AGE76211.1	HD73_0632
AGE76212.1	HD73_0633
AGE76213.1	HD73_0634
AGE76214.1	HD73_0635
AGE76215.1	HD73_0636
AGE76216.1	HD73_0637
AGE76217.1	HD73_0638
AGE76218.1	HD73_0639
AGE76219.1	HD73_0640
AGE76220.1	HD73_0641
AGE76221.1	HD73_0642
AGE76222.1	HD73_0643
AGE76223.1	HD73_0644
AGE76224.1	HD73_0645
AGE76225.1	HD73_0646
AGE76226.1	HD73_0647
AGE76227.1	HD73_0648
AGE76228.1	HD73_0649
AGE76229.1	HD73_0650
AGE76230.1	HD73_0651
AGE76231.1	HD73_0652
AGE76232.1	HD73_0653
AGE76233.1	HD73_0654
AGE76234.1	HD73_0655
AGE76235.1	HD73_0656
AGE76236.1	HD73_0657
AGE76237.1	HD73_0658
AGE76238.1	HD73_0659
AGE76239.1	HD73_0660
AGE76240.1	HD73_0661
AGE76241.1	HD73_0662
AGE76242.1	HD73_0663
AGE76243.1	HD73_0664
AGE76244.1	HD73_0665
AGE76245.1	HD73_0666
AGE76246.1	HD73_0667
AGE76247.1	HD73_0668
AGE76248.1	HD73_0669
AGE76249.1	HD73_0670
AGE76250.1	HD73_0671
AGE76251.1	HD73_0672
AGE76252.1	HD73_0673
AGE76253.1	HD73_0674
AGE76254.1	HD73_0675
AGE76255.1	HD73_0676
AGE76256.1	HD73_0677
AGE76257.1	HD73_0678
AGE76258.1	HD73_0679
AGE76259.1	HD73_0680
AGE76260.1	HD73_0681
AGE76261.1	HD73_0682
AGE76262.1	HD73_0683
AGE76263.1	HD73_0684
AGE76264.1	HD73_0685
AGE76265.1	HD73_0686
AGE76266.1	HD73_0687
AGE76267.1	HD73_0688
AGE76268.1	HD73_0689
AGE76269.1	HD73_0690
AGE76270.1	HD73_0691
AGE76271.1	HD73_0692
AGE76272.1	HD73_0693
AGE76273.1	HD73_0694
AGE76274.1	HD73_0695
AGE76275.1	HD73_0696
AGE76276.1	HD73_0697
AGE76277.1	HD73_0698
AGE76278.1	HD73_0699
AGE76279.1	HD73_0700
AGE76280.1	HD73_0701
AGE76281.1	HD73_0702
AGE76282.1	HD73_0703
AGE76283.1	HD73_0704
AGE76284.1	HD73_0705
AGE76285.1	HD73_0706
AGE76286.1	HD73_0707
AGE76287.1	HD73_0708
AGE76288.1	HD73_0709
AGE76289.1	HD73_0710
AGE76290.1	HD73_0711
AGE76291.1	HD73_0712
AGE76292.1	HD73_0713
AGE76293.1	HD73_0714
AGE76294.1	HD73_0715
AGE76295.1	HD73_0716
AGE76296.1	HD73_0717
AGE76297.1	HD73_0718
AGE76298.1	HD73_0719
AGE76299.1	HD73_0720
AGE76300.1	HD73_0721
AGE76301.1	HD73_0722
AGE76302.1	HD73_0723
AGE76303.1	HD73_0724
AGE76304.1	HD73_0725
AGE76305.1	HD73_0726
AGE76306.1	HD73_0727
AGE76307.1	HD73_0728
AGE76308.1	HD73_0729
AGE76309.1	HD73_0730
AGE76310.1	HD73_0731
AGE76311.1	HD73_0732
AGE76312.1	HD73_0733
AGE76313.1	HD73_0734
AGE76314.1	HD73_0735
AGE76315.1	HD73_0736
AGE76316.1	HD73_0737
AGE76317.1	HD73_0738
AGE76318.1	HD73_0739
AGE76319.1	HD73_0740
AGE76320.1	HD73_0741
AGE76321.1	HD73_0742
AGE76322.1	HD73_0743
AGE76323.1	HD73_0744
AGE76324.1	HD73_0745
AGE76325.1	HD73_0746
AGE76326.1	HD73_0747
AGE76327.1	HD73_0748
AGE76328.1	HD73_0749
AGE76329.1	HD73_0750
AGE76330.1	HD73_0751
AGE76331.1	HD73_0752
AGE76332.1	HD73_0753
AGE76333.1	HD73_0754
AGE76334.1	HD73_0755
AGE76335.1	HD73_0756
AGE76336.1	HD73_0757
AGE76337.1	HD73_0758
AGE76338.1	HD73_0759
AGE76339.1	HD73_0760
AGE76340.1	HD73_0761
AGE76341.1	HD73_0762
AGE76342.1	HD73_0763
AGE76343.1	HD73_0764
AGE76344.1	HD73_0765
AGE76345.1	HD73_0766
AGE76346.1	HD73_0767
AGE76347.1	HD73_0768
AGE76348.1	HD73_0769
AGE76349.1	HD73_0770
AGE76350.1	HD73_0771
AGE76351.1	HD73_0772
AGE76352.1	HD73_0773
AGE76353.1	HD73_0774
AGE76354.1	HD73_0775
AGE76355.1	HD73_0776
AGE76356.1	HD73_0777
AGE76357.1	HD73_0778
AGE76358.1	HD73_0779
AGE76359.1	HD73_0780
AGE76360.1	HD73_0781
AGE76361.1	HD73_0782
AGE76362.1	HD73_0783
AGE76363.1	HD73_0784
AGE76364.1	HD73_0785
AGE76365.1	HD73_0786
AGE76366.1	HD73_0787
AGE76367.1	HD73_0788
AGE76368.1	HD73_0789
AGE76369.1	HD73_0790
AGE76370.1	HD73_0791
AGE76371.1	HD73_0792
AGE76372.1	HD73_0793
AGE76373.1	HD73_0794
AGE76374.1	HD73_0795
AGE76375.1	HD73_0796
AGE76376.1	HD73_0797
AGE76377.1	HD73_0798
AGE76378.1	HD73_0799
AGE76379.1	HD73_0800
AGE76380.1	HD73_0801
AGE76381.1	HD73_0802
AGE76382.1	HD73_0803
AGE76383.1	HD73_0804
AGE76384.1	HD73_0805
AGE76385.1	HD73_0806
AGE76386.1	HD73_0807
AGE76387.1	HD73_0808
AGE76388.1	HD73_0809
AGE76389.1	HD73_0810
AGE76390.1	HD73_0811
AGE76391.1	HD73_0812
AGE76392.1	HD73_0813
AGE76393.1	HD73_0814
AGE76394.1	HD73_0815
AGE76395.1	HD73_0816
AGE76396.1	HD73_0817
AGE76397.1	HD73_0818
AGE76398.1	HD73_0819
AGE76399.1	HD73_0820
AGE76400.1	HD73_0821
AGE76401.1	HD73_0822
AGE76402.1	HD73_0823
AGE76403.1	HD73_0824
AGE76404.1	HD73_0825
AGE76405.1	HD73_0826
AGE76406.1	HD73_0827
AGE76407.1	HD73_0828
AGE76408.1	HD73_0829
AGE76409.1	HD73_0830
AGE76410.1	HD73_0831
AGE76411.1	HD73_0832
AGE76412.1	HD73_0833
AGE76413.1	HD73_0834
AGE76414.1	HD73_0835
AGE76415.1	HD73_0836
AGE76416.1	HD73_0837
AGE76417.1	HD73_0838
AGE76418.1	HD73_0839
AGE76419.1	HD73_0840
AGE76420.1	HD73_0841
AGE76421.1	HD73_0842
AGE76422.1	HD73_0843
AGE76423.1	HD73_0844
AGE76424.1	HD73_0845
AGE76425.1	HD73_0846
AGE76426.1	HD73_0847
AGE76427.1	HD73_0848
AGE76428.1	HD73_0849
AGE76429.1	HD73_0850
AGE76430.1	HD73_0851
AGE76431.1	HD73_0852
AGE76432.1	HD73_0853
AGE76433.1	HD73_0854
AGE76434.1	HD73_0856
AGE76435.1	HD73_0857
AGE76436.1	HD73_0858
AGE76437.1	HD73_0859
AGE76438.1	HD73_0860
AGE76439.1	HD73_0861
AGE76440.1	HD73_0862
AGE76441.1	HD73_0863
AGE76442.1	HD73_0864
AGE76443.1	HD73_0865
AGE76444.1	HD73_0866
AGE76445.1	HD73_0867
AGE76446.1	HD73_0868
AGE76447.1	HD73_0869
AGE76448.1	HD73_0870
AGE76449.1	HD73_0871
AGE76450.1	HD73_0872
AGE76451.1	HD73_0873
AGE76452.1	HD73_0874
AGE76453.1	HD73_0875
AGE76454.1	HD73_0876
AGE76455.1	HD73_0877
AGE76456.1	HD73_0878
AGE76457.1	HD73_0879
AGE76458.1	HD73_0880
AGE76459.1	HD73_0881
AGE76460.1	HD73_0882
AGE76461.1	HD73_0883
AGE76462.1	HD73_0884
AGE76463.1	HD73_0885
AGE76464.1	HD73_0886
AGE76465.1	HD73_0887
AGE76466.1	HD73_0888
AGE76467.1	HD73_0889
AGE76468.1	HD73_0890
AGE76469.1	HD73_0891
AGE76470.1	HD73_0892
AGE76471.1	HD73_0893
AGE76472.1	HD73_0894
AGE76473.1	HD73_0895
AGE76474.1	HD73_0896
AGE76475.1	HD73_0897
AGE76476.1	HD73_0898
AGE76477.1	HD73_0899
AGE76478.1	HD73_0900
AGE76479.1	HD73_0901
AGE76480.1	HD73_0902
AGE76481.1	HD73_0903
AGE76482.1	HD73_0904
AGE76483.1	HD73_0905
AGE76484.1	HD73_0906
AGE76485.1	HD73_0907
AGE76486.1	HD73_0908
AGE76487.1	HD73_0909
AGE76488.1	HD73_0910
AGE76489.1	HD73_0911
AGE76490.1	HD73_0912
AGE76491.1	HD73_0913
AGE76492.1	HD73_0914
AGE76493.1	HD73_0915
AGE76494.1	HD73_0916
AGE76495.1	HD73_0917
AGE76496.1	HD73_0918
AGE76497.1	HD73_0919
AGE76498.1	HD73_0920
AGE76499.1	HD73_0921
AGE76500.1	HD73_0922
AGE76501.1	HD73_0923
AGE76502.1	HD73_0924
AGE76503.1	HD73_0925
AGE76504.1	HD73_0926
AGE76505.1	HD73_0927
AGE76506.1	HD73_0928
AGE76507.1	HD73_0929
AGE76508.1	HD73_0930
AGE76509.1	HD73_0931
AGE76510.1	HD73_0932
AGE76511.1	HD73_0933
AGE76512.1	HD73_0934
AGE76513.1	HD73_0935
AGE76514.1	HD73_0936
AGE76515.1	HD73_0937
AGE76516.1	HD73_0938
AGE76517.1	HD73_0939
AGE76518.1	HD73_0940
AGE76519.1	HD73_0941
AGE76520.1	HD73_0942
AGE76521.1	HD73_0943
AGE76522.1	HD73_0944
