#catalog	members
K17877	TRINITY_g517152_i1_1,TRINITY_g8983_i1_1
K15578	TRINITY_g436639_i1_1
K00265	TRINITY_g102624_i1_1,TRINITY_g106250_i1_1,TRINITY_g115093_i1_2,TRINITY_g140739_i1_1,TRINITY_g153720_i1_1,TRINITY_g174424_i1_1,TRINITY_g176011_i1_2,TRINITY_g177384_i1_1,TRINITY_g198362_i1_1,TRINITY_g214689_i1_1,TRINITY_g215240_i1_1,TRINITY_g255282_i1_1,TRINITY_g259605_i1_1,TRINITY_g265020_i1_1,TRINITY_g27073_i1_1,TRINITY_g284328_i1_1,TRINITY_g300447_i1_1,TRINITY_g327795_i1_1,TRINITY_g338978_i1_1,TRINITY_g339233_i1_1,TRINITY_g379083_i1_1,TRINITY_g393146_i1_1,TRINITY_g393147_i1_1,TRINITY_g396534_i1_2,TRINITY_g396534_i2_2,TRINITY_g396534_i6_2,TRINITY_g396534_i9_2,TRINITY_g3978_i1_1,TRINITY_g398954_i1_1,TRINITY_g408664_i1_1,TRINITY_g418059_i1_1,TRINITY_g418060_i1_2,TRINITY_g418061_i1_1,TRINITY_g418061_i2_1,TRINITY_g418062_i1_1,TRINITY_g427123_i1_2,TRINITY_g451314_i1_1,TRINITY_g452135_i1_1,TRINITY_g452135_i3_1,TRINITY_g452148_i2_3,TRINITY_g463299_i1_1,TRINITY_g463299_i2_1,TRINITY_g470779_i1_1,TRINITY_g471461_i3_2,TRINITY_g471461_i5_2,TRINITY_g471519_i2_4,TRINITY_g471519_i3_4,TRINITY_g471519_i5_4,TRINITY_g471519_i6_4,TRINITY_g471846_i1_1,TRINITY_g471847_i1_1,TRINITY_g471848_i1_2,TRINITY_g471848_i2_3,TRINITY_g472726_i1_4,TRINITY_g47770_i1_1,TRINITY_g483060_i1_1,TRINITY_g483060_i3_1,TRINITY_g483061_i1_1,TRINITY_g484382_i1_1,TRINITY_g492949_i1_1,TRINITY_g504315_i1_2,TRINITY_g514273_i1_1,TRINITY_g514273_i3_1,TRINITY_g514273_i4_1,TRINITY_g514273_i5_1,TRINITY_g514274_i1_1,TRINITY_g514274_i4_1,TRINITY_g514274_i5_1,TRINITY_g533858_i1_1,TRINITY_g539087_i1_1,TRINITY_g82960_i1_1,TRINITY_g92377_i1_1,TRINITY_g9669_i1_1
K00266	TRINITY_g10441_i1_2,TRINITY_g111897_i1_1,TRINITY_g113453_i1_1,TRINITY_g120646_i1_1,TRINITY_g127817_i1_1,TRINITY_g131606_i1_1,TRINITY_g131924_i1_1,TRINITY_g133954_i1_1,TRINITY_g144790_i1_1,TRINITY_g152926_i1_1,TRINITY_g160833_i1_1,TRINITY_g161276_i1_1,TRINITY_g162654_i1_1,TRINITY_g18924_i1_1,TRINITY_g213401_i1_1,TRINITY_g226283_i1_2,TRINITY_g226648_i1_2,TRINITY_g232147_i1_1,TRINITY_g238630_i1_1,TRINITY_g255099_i1_1,TRINITY_g257627_i1_2,TRINITY_g2649_i1_1,TRINITY_g268962_i1_1,TRINITY_g269447_i1_1,TRINITY_g271737_i1_2,TRINITY_g283752_i1_1,TRINITY_g294014_i1_1,TRINITY_g308341_i1_1,TRINITY_g316860_i1_1,TRINITY_g321143_i1_1,TRINITY_g33151_i1_1,TRINITY_g338265_i1_1,TRINITY_g34073_i1_1,TRINITY_g342674_i1_1,TRINITY_g348148_i1_1,TRINITY_g350782_i1_1,TRINITY_g352315_i1_1,TRINITY_g368228_i1_1,TRINITY_g376747_i1_1,TRINITY_g380607_i1_1,TRINITY_g382233_i1_1,TRINITY_g385416_i1_1,TRINITY_g385717_i1_1,TRINITY_g394362_i1_2,TRINITY_g395322_i1_1,TRINITY_g395928_i1_1,TRINITY_g397818_i1_1,TRINITY_g397818_i2_1,TRINITY_g403378_i1_1,TRINITY_g403379_i1_1,TRINITY_g409743_i1_3,TRINITY_g418082_i1_1,TRINITY_g418082_i5_1,TRINITY_g418082_i7_1,TRINITY_g418082_i8_1,TRINITY_g425051_i1_1,TRINITY_g425052_i1_1,TRINITY_g425052_i2_1,TRINITY_g425053_i1_1,TRINITY_g441966_i1_2,TRINITY_g441966_i3_2,TRINITY_g441966_i5_2,TRINITY_g441967_i1_1,TRINITY_g441968_i1_2,TRINITY_g452148_i2_2,TRINITY_g452721_i1_1,TRINITY_g452721_i2_1,TRINITY_g462877_i1_2,TRINITY_g466364_i1_1,TRINITY_g467381_i1_1,TRINITY_g467738_i1_1,TRINITY_g471848_i2_2,TRINITY_g47185_i1_1,TRINITY_g476885_i1_1,TRINITY_g47854_i1_1,TRINITY_g479491_i2_6,TRINITY_g480832_i1_1,TRINITY_g480833_i1_3,TRINITY_g480833_i3_3,TRINITY_g480834_i1_1,TRINITY_g486224_i2_1,TRINITY_g486225_i1_1,TRINITY_g498465_i1_1,TRINITY_g502599_i1_2,TRINITY_g504267_i1_1,TRINITY_g504268_i1_2,TRINITY_g508956_i1_2,TRINITY_g508956_i8_2,TRINITY_g514273_i1_2,TRINITY_g514273_i3_2,TRINITY_g514273_i4_2,TRINITY_g514273_i5_2,TRINITY_g516690_i1_1,TRINITY_g516693_i1_1,TRINITY_g516695_i1_1,TRINITY_g516696_i1_2,TRINITY_g516696_i2_2,TRINITY_g516697_i1_1,TRINITY_g524544_i2_4,TRINITY_g524544_i4_4,TRINITY_g537224_i1_1,TRINITY_g541662_i1_1,TRINITY_g541663_i16_3,TRINITY_g541663_i17_9,TRINITY_g541663_i19_10,TRINITY_g541663_i2_10,TRINITY_g541663_i4_3,TRINITY_g541663_i8_10,TRINITY_g54728_i1_1,TRINITY_g5786_i1_1,TRINITY_g617_i1_1,TRINITY_g72819_i1_1,TRINITY_g79227_i1_1,TRINITY_g87568_i1_1,TRINITY_g94217_i1_1,TRINITY_g9548_i1_1,TRINITY_g98686_i1_1,TRINITY_g99604_i1_1
K01455	TRINITY_g101136_i1_1,TRINITY_g143328_i1_1,TRINITY_g17028_i1_1,TRINITY_g174681_i1_1,TRINITY_g176795_i1_1,TRINITY_g177444_i1_1,TRINITY_g240468_i1_1,TRINITY_g267078_i1_1,TRINITY_g272261_i1_2,TRINITY_g283898_i1_1,TRINITY_g305938_i1_1,TRINITY_g305938_i1_2,TRINITY_g330425_i1_1,TRINITY_g3315_i1_1,TRINITY_g408569_i1_1,TRINITY_g455984_i1_1,TRINITY_g455986_i2_4,TRINITY_g455986_i4_4,TRINITY_g455986_i5_4,TRINITY_g467125_i4_1,TRINITY_g467125_i5_1,TRINITY_g491672_i1_1,TRINITY_g496434_i1_1,TRINITY_g500727_i1_1,TRINITY_g500728_i1_1,TRINITY_g510139_i1_1,TRINITY_g539445_i1_1,TRINITY_g546563_i1_1,TRINITY_g546563_i2_1,TRINITY_g56767_i1_1
K01673	TRINITY_g121863_i1_1,TRINITY_g129347_i1_2,TRINITY_g132347_i1_1,TRINITY_g135266_i1_2,TRINITY_g144146_i1_2,TRINITY_g184249_i1_2,TRINITY_g189700_i1_2,TRINITY_g192699_i1_1,TRINITY_g198515_i1_1,TRINITY_g200868_i1_1,TRINITY_g208808_i1_2,TRINITY_g214091_i1_1,TRINITY_g219579_i1_1,TRINITY_g236263_i1_1,TRINITY_g238075_i1_1,TRINITY_g241703_i1_1,TRINITY_g250979_i1_1,TRINITY_g25661_i1_1,TRINITY_g26235_i1_1,TRINITY_g26730_i1_1,TRINITY_g267946_i1_1,TRINITY_g268158_i1_2,TRINITY_g280538_i1_1,TRINITY_g303218_i1_1,TRINITY_g305546_i1_1,TRINITY_g315613_i1_1,TRINITY_g315751_i1_1,TRINITY_g323720_i1_1,TRINITY_g326511_i1_1,TRINITY_g333629_i1_1,TRINITY_g333737_i1_1,TRINITY_g338676_i1_3,TRINITY_g344003_i1_2,TRINITY_g356097_i1_1,TRINITY_g356795_i1_1,TRINITY_g360409_i1_2,TRINITY_g364839_i1_1,TRINITY_g36567_i1_1,TRINITY_g383751_i1_1,TRINITY_g387194_i1_2,TRINITY_g387489_i27_14,TRINITY_g390854_i1_2,TRINITY_g390854_i2_2,TRINITY_g397108_i1_1,TRINITY_g399258_i2_1,TRINITY_g402885_i1_1,TRINITY_g40574_i1_1,TRINITY_g405812_i1_1,TRINITY_g411998_i1_1,TRINITY_g411998_i2_1,TRINITY_g417150_i1_1,TRINITY_g424114_i1_2,TRINITY_g42719_i1_1,TRINITY_g429289_i1_4,TRINITY_g429851_i1_1,TRINITY_g431655_i1_1,TRINITY_g431656_i1_1,TRINITY_g43440_i1_1,TRINITY_g439168_i1_4,TRINITY_g440707_i1_1,TRINITY_g440707_i4_1,TRINITY_g442930_i1_3,TRINITY_g444262_i1_1,TRINITY_g444262_i2_1,TRINITY_g452254_i1_2,TRINITY_g454463_i1_1,TRINITY_g454463_i2_1,TRINITY_g458914_i1_7,TRINITY_g462528_i1_1,TRINITY_g464208_i1_2,TRINITY_g465248_i2_1,TRINITY_g465805_i1_1,TRINITY_g468756_i1_3,TRINITY_g474381_i1_2,TRINITY_g489384_i1_1,TRINITY_g494132_i1_3,TRINITY_g509479_i2_10,TRINITY_g509482_i1_2,TRINITY_g509482_i2_2,TRINITY_g515831_i1_1,TRINITY_g515832_i1_1,TRINITY_g524697_i1_1,TRINITY_g527383_i1_2,TRINITY_g532067_i2_7,TRINITY_g532067_i4_7,TRINITY_g532090_i1_1,TRINITY_g532090_i2_1,TRINITY_g538375_i1_5,TRINITY_g540431_i1_1,TRINITY_g547_i1_1,TRINITY_g548102_i1_4,TRINITY_g552213_i1_1,TRINITY_g58870_i1_1,TRINITY_g60793_i1_1,TRINITY_g61790_i1_1,TRINITY_g68971_i1_1,TRINITY_g73982_i1_1,TRINITY_g77659_i1_1,TRINITY_g78428_i1_1,TRINITY_g83329_i1_1,TRINITY_g88218_i1_1
K00368	TRINITY_g127677_i1_1,TRINITY_g133163_i1_1,TRINITY_g134023_i1_1,TRINITY_g188615_i1_1,TRINITY_g19549_i1_1,TRINITY_g220333_i1_1,TRINITY_g243421_i1_1,TRINITY_g265574_i1_1,TRINITY_g266127_i1_1,TRINITY_g276666_i1_1,TRINITY_g280936_i1_1,TRINITY_g308477_i1_1,TRINITY_g325488_i1_1,TRINITY_g338252_i1_1,TRINITY_g350079_i1_1,TRINITY_g353762_i1_2,TRINITY_g363019_i1_1,TRINITY_g376461_i1_1,TRINITY_g378631_i1_1,TRINITY_g387599_i1_3,TRINITY_g387599_i2_3,TRINITY_g387599_i4_3,TRINITY_g387599_i8_3,TRINITY_g39497_i1_1,TRINITY_g406428_i1_1,TRINITY_g406428_i2_1,TRINITY_g418856_i1_1,TRINITY_g418856_i2_1,TRINITY_g437509_i1_1,TRINITY_g437510_i1_1,TRINITY_g447927_i1_1,TRINITY_g459696_i1_1,TRINITY_g459697_i1_1,TRINITY_g490191_i1_3,TRINITY_g490191_i2_3,TRINITY_g67977_i1_1,TRINITY_g92390_i1_1,TRINITY_g97740_i1_1
K02588	TRINITY_g121026_i1_3,TRINITY_g139020_i1_2,TRINITY_g263773_i1_1,TRINITY_g332993_i1_1,TRINITY_g488822_i1_4,TRINITY_g528532_i1_2,TRINITY_g528533_i1_2,TRINITY_g62713_i1_1
K00261	TRINITY_g118356_i1_2,TRINITY_g119080_i1_1,TRINITY_g120380_i1_1,TRINITY_g123040_i1_2,TRINITY_g131335_i1_1,TRINITY_g133045_i1_1,TRINITY_g147351_i1_1,TRINITY_g158899_i1_1,TRINITY_g17059_i1_1,TRINITY_g174673_i1_1,TRINITY_g182352_i1_1,TRINITY_g184431_i1_1,TRINITY_g18772_i1_1,TRINITY_g203737_i1_1,TRINITY_g21322_i1_1,TRINITY_g213332_i1_1,TRINITY_g231180_i1_1,TRINITY_g232560_i1_1,TRINITY_g232627_i1_1,TRINITY_g2346_i1_1,TRINITY_g243355_i1_1,TRINITY_g251545_i1_1,TRINITY_g26128_i1_1,TRINITY_g266924_i1_1,TRINITY_g275951_i1_1,TRINITY_g284517_i1_1,TRINITY_g288410_i1_1,TRINITY_g294648_i1_1,TRINITY_g304991_i1_1,TRINITY_g30765_i1_1,TRINITY_g31884_i1_1,TRINITY_g322337_i1_1,TRINITY_g330531_i1_1,TRINITY_g33510_i1_1,TRINITY_g348504_i1_1,TRINITY_g348641_i1_1,TRINITY_g356041_i1_1,TRINITY_g35817_i1_1,TRINITY_g366114_i1_1,TRINITY_g383315_i1_1,TRINITY_g384621_i1_1,TRINITY_g390317_i1_2,TRINITY_g396783_i1_1,TRINITY_g397861_i1_1,TRINITY_g398934_i1_1,TRINITY_g400921_i1_1,TRINITY_g403610_i1_3,TRINITY_g404044_i1_2,TRINITY_g413768_i1_1,TRINITY_g415626_i1_1,TRINITY_g423544_i1_1,TRINITY_g439453_i1_1,TRINITY_g44412_i1_1,TRINITY_g458528_i1_1,TRINITY_g461848_i1_3,TRINITY_g463590_i1_1,TRINITY_g463590_i4_1,TRINITY_g465214_i1_2,TRINITY_g465214_i2_2,TRINITY_g465214_i3_1,TRINITY_g47176_i1_1,TRINITY_g471967_i1_1,TRINITY_g486440_i1_4,TRINITY_g4905_i1_1,TRINITY_g50318_i1_1,TRINITY_g507551_i1_6,TRINITY_g507778_i1_1,TRINITY_g507778_i2_1,TRINITY_g507779_i1_1,TRINITY_g507780_i1_1,TRINITY_g507780_i2_1,TRINITY_g507781_i1_1,TRINITY_g507783_i1_1,TRINITY_g509453_i8_1,TRINITY_g509453_i9_1,TRINITY_g526095_i1_1,TRINITY_g526137_i1_1,TRINITY_g527996_i1_1,TRINITY_g528164_i1_1,TRINITY_g528922_i1_1,TRINITY_g538739_i1_1,TRINITY_g540396_i1_1,TRINITY_g545576_i1_1,TRINITY_g552000_i1_1,TRINITY_g66662_i1_1,TRINITY_g69744_i1_1,TRINITY_g7690_i1_1,TRINITY_g8825_i1_1
K01674	TRINITY_g216321_i1_1,TRINITY_g278922_i1_1,TRINITY_g341076_i1_1,TRINITY_g490500_i1_7,TRINITY_g521083_i1_1,TRINITY_g535254_i1_4,TRINITY_g535254_i4_7,TRINITY_g535254_i5_7,TRINITY_g92739_i1_1
K00366	TRINITY_g171026_i1_1,TRINITY_g198668_i1_1,TRINITY_g200562_i1_1,TRINITY_g207109_i1_2,TRINITY_g26606_i1_1,TRINITY_g286293_i1_1,TRINITY_g291042_i1_1,TRINITY_g300905_i1_1,TRINITY_g306858_i1_1,TRINITY_g321843_i1_1,TRINITY_g324368_i1_1,TRINITY_g395385_i1_1,TRINITY_g395385_i2_1,TRINITY_g467558_i1_1,TRINITY_g79616_i1_1
K02567	TRINITY_g149910_i1_1,TRINITY_g154192_i1_1,TRINITY_g177881_i1_1,TRINITY_g37194_i1_1,TRINITY_g437228_i1_1,TRINITY_g513788_i1_1
K01915	TRINITY_g104345_i1_1,TRINITY_g110153_i1_1,TRINITY_g110731_i1_1,TRINITY_g111030_i1_1,TRINITY_g111030_i2_1,TRINITY_g112153_i1_1,TRINITY_g113269_i1_1,TRINITY_g114974_i1_1,TRINITY_g115451_i1_1,TRINITY_g119349_i1_1,TRINITY_g126924_i1_1,TRINITY_g129633_i1_1,TRINITY_g129633_i2_1,TRINITY_g129634_i2_1,TRINITY_g140653_i1_1,TRINITY_g142390_i1_1,TRINITY_g142692_i1_1,TRINITY_g143283_i1_1,TRINITY_g148371_i1_1,TRINITY_g151222_i1_1,TRINITY_g156182_i1_1,TRINITY_g156379_i1_1,TRINITY_g161500_i1_1,TRINITY_g164896_i1_1,TRINITY_g166985_i1_1,TRINITY_g170176_i1_1,TRINITY_g172765_i1_3,TRINITY_g17463_i1_1,TRINITY_g175241_i1_1,TRINITY_g180077_i1_1,TRINITY_g181398_i1_1,TRINITY_g18347_i1_1,TRINITY_g184777_i1_1,TRINITY_g189753_i1_1,TRINITY_g200993_i1_1,TRINITY_g203514_i1_1,TRINITY_g204490_i1_1,TRINITY_g206238_i1_1,TRINITY_g206444_i1_2,TRINITY_g207158_i1_1,TRINITY_g207933_i1_1,TRINITY_g208720_i1_1,TRINITY_g208726_i1_2,TRINITY_g210774_i1_1,TRINITY_g210924_i1_1,TRINITY_g212281_i1_1,TRINITY_g220589_i1_1,TRINITY_g221020_i1_1,TRINITY_g22349_i1_1,TRINITY_g232736_i1_1,TRINITY_g234527_i1_2,TRINITY_g239308_i1_1,TRINITY_g240512_i1_1,TRINITY_g241446_i1_1,TRINITY_g242250_i1_2,TRINITY_g25119_i1_1,TRINITY_g260086_i1_1,TRINITY_g260496_i1_1,TRINITY_g266504_i1_1,TRINITY_g266864_i1_1,TRINITY_g269539_i1_1,TRINITY_g270848_i1_1,TRINITY_g279593_i1_1,TRINITY_g283073_i1_2,TRINITY_g28514_i1_1,TRINITY_g288004_i1_1,TRINITY_g288126_i1_1,TRINITY_g291675_i1_1,TRINITY_g29989_i1_1,TRINITY_g29990_i1_1,TRINITY_g30056_i1_1,TRINITY_g300954_i1_1,TRINITY_g304154_i1_1,TRINITY_g31194_i1_1,TRINITY_g314459_i1_1,TRINITY_g315721_i1_1,TRINITY_g326251_i1_1,TRINITY_g326298_i1_1,TRINITY_g332251_i1_1,TRINITY_g33259_i1_1,TRINITY_g339643_i1_1,TRINITY_g343142_i1_1,TRINITY_g343813_i1_1,TRINITY_g34446_i1_1,TRINITY_g346780_i1_1,TRINITY_g351121_i1_1,TRINITY_g353985_i1_1,TRINITY_g356195_i1_1,TRINITY_g35844_i1_1,TRINITY_g366743_i1_1,TRINITY_g367189_i1_1,TRINITY_g372795_i1_2,TRINITY_g376019_i1_1,TRINITY_g376131_i1_1,TRINITY_g387404_i2_24,TRINITY_g387404_i4_22,TRINITY_g393929_i1_1,TRINITY_g393929_i2_1,TRINITY_g393930_i1_1,TRINITY_g396533_i1_1,TRINITY_g396533_i2_1,TRINITY_g396534_i2_4,TRINITY_g396534_i6_4,TRINITY_g396534_i9_4,TRINITY_g402871_i1_1,TRINITY_g403630_i1_1,TRINITY_g403631_i1_1,TRINITY_g403882_i3_33,TRINITY_g403882_i5_33,TRINITY_g403882_i6_33,TRINITY_g412092_i1_1,TRINITY_g413661_i1_1,TRINITY_g418358_i1_1,TRINITY_g420587_i1_2,TRINITY_g423449_i1_1,TRINITY_g423715_i1_1,TRINITY_g423716_i1_1,TRINITY_g423716_i2_2,TRINITY_g425311_i1_1,TRINITY_g426480_i1_1,TRINITY_g426480_i2_1,TRINITY_g426480_i4_1,TRINITY_g428826_i1_2,TRINITY_g428829_i1_3,TRINITY_g428829_i4_3,TRINITY_g430488_i1_2,TRINITY_g432754_i1_1,TRINITY_g433990_i1_1,TRINITY_g434028_i1_1,TRINITY_g434029_i1_1,TRINITY_g434030_i1_1,TRINITY_g434031_i1_3,TRINITY_g434032_i4_1,TRINITY_g434066_i1_2,TRINITY_g438147_i1_2,TRINITY_g440983_i10_1,TRINITY_g440983_i1_1,TRINITY_g440983_i1_2,TRINITY_g440983_i14_1,TRINITY_g440983_i17_1,TRINITY_g440983_i20_1,TRINITY_g440983_i21_1,TRINITY_g440983_i5_1,TRINITY_g441271_i1_2,TRINITY_g444542_i1_1,TRINITY_g444542_i2_1,TRINITY_g444542_i3_1,TRINITY_g444934_i1_1,TRINITY_g445309_i1_1,TRINITY_g445310_i1_1,TRINITY_g445310_i2_1,TRINITY_g445310_i3_1,TRINITY_g448041_i1_1,TRINITY_g449304_i1_1,TRINITY_g455246_i1_1,TRINITY_g455246_i2_1,TRINITY_g455480_i1_1,TRINITY_g455480_i2_1,TRINITY_g458333_i1_2,TRINITY_g462034_i3_2,TRINITY_g462034_i4_2,TRINITY_g463092_i1_1,TRINITY_g463093_i1_1,TRINITY_g463918_i2_1,TRINITY_g464234_i1_1,TRINITY_g464235_i1_1,TRINITY_g464236_i1_1,TRINITY_g464237_i1_1,TRINITY_g464238_i1_1,TRINITY_g464405_i1_1,TRINITY_g464405_i2_1,TRINITY_g471199_i1_1,TRINITY_g475016_i1_8,TRINITY_g475914_i1_2,TRINITY_g478458_i1_1,TRINITY_g478458_i2_1,TRINITY_g482464_i1_4,TRINITY_g482468_i1_4,TRINITY_g482468_i2_4,TRINITY_g482468_i3_4,TRINITY_g482468_i4_4,TRINITY_g482469_i1_1,TRINITY_g482922_i2_3,TRINITY_g482922_i3_3,TRINITY_g482926_i1_1,TRINITY_g483769_i1_1,TRINITY_g483770_i1_1,TRINITY_g483771_i1_1,TRINITY_g484717_i10_7,TRINITY_g488904_i1_1,TRINITY_g488907_i1_1,TRINITY_g488907_i3_5,TRINITY_g488907_i4_8,TRINITY_g488907_i5_1,TRINITY_g488907_i6_1,TRINITY_g488907_i7_1,TRINITY_g492959_i1_1,TRINITY_g492961_i1_1,TRINITY_g493552_i1_1,TRINITY_g499237_i1_1,TRINITY_g499238_i1_1,TRINITY_g499238_i2_1,TRINITY_g499239_i1_1,TRINITY_g499939_i1_2,TRINITY_g500568_i1_1,TRINITY_g500569_i1_7,TRINITY_g501048_i1_1,TRINITY_g501048_i2_1,TRINITY_g502458_i1_1,TRINITY_g504874_i1_1,TRINITY_g504874_i2_1,TRINITY_g504875_i1_1,TRINITY_g508767_i2_1,TRINITY_g508767_i3_1,TRINITY_g508768_i1_1,TRINITY_g508769_i1_1,TRINITY_g508769_i1_2,TRINITY_g508771_i1_1,TRINITY_g508771_i2_1,TRINITY_g508771_i3_1,TRINITY_g508771_i5_1,TRINITY_g508771_i6_1,TRINITY_g511958_i1_1,TRINITY_g517199_i1_1,TRINITY_g517757_i1_1,TRINITY_g523620_i1_3,TRINITY_g523621_i1_1,TRINITY_g523622_i1_1,TRINITY_g523622_i3_5,TRINITY_g523622_i4_1,TRINITY_g523623_i1_2,TRINITY_g523624_i1_1,TRINITY_g523626_i1_1,TRINITY_g523747_i1_1,TRINITY_g523748_i1_1,TRINITY_g524107_i1_1,TRINITY_g524107_i2_1,TRINITY_g524719_i1_2,TRINITY_g524720_i1_2,TRINITY_g526361_i1_2,TRINITY_g52775_i1_1,TRINITY_g531963_i4_9,TRINITY_g531963_i5_9,TRINITY_g535446_i1_1,TRINITY_g535447_i1_1,TRINITY_g535447_i2_2,TRINITY_g536028_i1_4,TRINITY_g536346_i1_1,TRINITY_g536347_i1_1,TRINITY_g536348_i1_2,TRINITY_g536349_i1_1,TRINITY_g536350_i1_1,TRINITY_g536352_i2_1,TRINITY_g536352_i3_1,TRINITY_g536352_i4_1,TRINITY_g536352_i5_2,TRINITY_g536352_i7_2,TRINITY_g536353_i1_1,TRINITY_g537939_i1_1,TRINITY_g537940_i1_2,TRINITY_g537940_i2_1,TRINITY_g537940_i5_2,TRINITY_g538948_i1_1,TRINITY_g539525_i13_1,TRINITY_g539525_i13_2,TRINITY_g539525_i3_1,TRINITY_g539525_i4_1,TRINITY_g539526_i1_1,TRINITY_g539982_i1_1,TRINITY_g539983_i1_1,TRINITY_g542512_i1_1,TRINITY_g542513_i1_1,TRINITY_g542514_i1_1,TRINITY_g542514_i2_1,TRINITY_g542515_i1_1,TRINITY_g54375_i1_1,TRINITY_g544432_i1_1,TRINITY_g545253_i2_1,TRINITY_g545253_i2_6,TRINITY_g547282_i1_1,TRINITY_g547572_i1_4,TRINITY_g547572_i3_4,TRINITY_g547572_i4_4,TRINITY_g547572_i5_3,TRINITY_g547572_i6_4,TRINITY_g547572_i8_4,TRINITY_g547572_i9_4,TRINITY_g550378_i2_11,TRINITY_g55613_i1_1,TRINITY_g58123_i1_1,TRINITY_g5879_i1_1,TRINITY_g60830_i1_1,TRINITY_g61092_i1_1,TRINITY_g61575_i1_1,TRINITY_g63921_i1_1,TRINITY_g63929_i1_1,TRINITY_g64336_i1_1,TRINITY_g67715_i1_1,TRINITY_g75112_i1_1,TRINITY_g76083_i1_1,TRINITY_g78567_i1_1,TRINITY_g833_i1_1,TRINITY_g88259_i1_2,TRINITY_g91947_i1_1,TRINITY_g92483_i1_1,TRINITY_g95753_i1_1,TRINITY_g96306_i1_1,TRINITY_g98287_i1_1,TRINITY_g98535_i1_1
K00926	TRINITY_g103451_i1_1,TRINITY_g117378_i1_1,TRINITY_g117379_i1_1,TRINITY_g133109_i1_1,TRINITY_g141966_i1_1,TRINITY_g141967_i1_2,TRINITY_g184197_i1_1,TRINITY_g266585_i1_1,TRINITY_g270050_i1_1,TRINITY_g274960_i1_1,TRINITY_g276467_i1_1,TRINITY_g28772_i1_1,TRINITY_g290042_i1_1,TRINITY_g290831_i1_1,TRINITY_g299038_i1_1,TRINITY_g307728_i1_1,TRINITY_g311074_i1_1,TRINITY_g324342_i1_1,TRINITY_g33664_i1_1,TRINITY_g353385_i1_1,TRINITY_g35340_i1_1,TRINITY_g356483_i1_1,TRINITY_g375302_i1_2,TRINITY_g385015_i1_2,TRINITY_g394757_i1_2,TRINITY_g394757_i3_2,TRINITY_g446682_i1_1,TRINITY_g45050_i1_1,TRINITY_g496596_i1_1,TRINITY_g504975_i1_1,TRINITY_g504976_i1_1,TRINITY_g517425_i1_5,TRINITY_g517425_i2_4,TRINITY_g517429_i1_3,TRINITY_g551696_i1_2,TRINITY_g66502_i1_1,TRINITY_g66734_i1_1,TRINITY_g83536_i1_1,TRINITY_g91550_i1_2
K15877	TRINITY_g177379_i1_1,TRINITY_g221700_i1_1,TRINITY_g225491_i1_1,TRINITY_g225491_i2_1,TRINITY_g396223_i1_1,TRINITY_g396224_i1_1,TRINITY_g396225_i1_1,TRINITY_g396226_i2_1
K01430	TRINITY_g181230_i1_1,TRINITY_g181231_i1_1,TRINITY_g237275_i1_1,TRINITY_g259820_i1_1,TRINITY_g304888_i1_2,TRINITY_g410870_i1_1,TRINITY_g417690_i2_1,TRINITY_g446318_i2_1,TRINITY_g446318_i3_1,TRINITY_g460186_i1_2,TRINITY_g488919_i10_2,TRINITY_g488919_i2_2,TRINITY_g488919_i3_3,TRINITY_g488919_i4_7,TRINITY_g488919_i5_7,TRINITY_g488919_i7_7,TRINITY_g488919_i9_7,TRINITY_g505682_i1_2,TRINITY_g505682_i2_3,TRINITY_g505682_i4_2,TRINITY_g57810_i1_2
